date,open,high,low,close,adj_close,volume
"Nov 02, 2021","3,700.00","3,710.00","3,640.00","3,660.00","3,660.00","170,260,000"
"Nov 01, 2021","3,810.00","3,820.00","3,700.00","3,700.00","3,700.00","65,447,100"
"Oct 29, 2021","3,750.00","3,810.00","3,730.00","3,800.00","3,800.00","70,430,900"
"Oct 28, 2021","3,820.00","3,820.00","3,710.00","3,750.00","3,750.00","61,151,100"
"Oct 27, 2021","3,820.00","3,830.00","3,770.00","3,790.00","3,790.00","52,210,100"
"Oct 26, 2021","3,800.00","3,830.00","3,780.00","3,800.00","3,800.00","58,615,100"
"Oct 25, 2021","3,800.00","3,840.00","3,780.00","3,780.00","3,780.00","58,246,300"
"Oct 22, 2021","3,860.00","3,880.00","3,820.00","3,870.00","3,870.00","59,640,700"
"Oct 21, 2021","3,780.00","3,880.00","3,760.00","3,850.00","3,850.00","169,659,500"
"Oct 19, 2021","3,750.00","3,800.00","3,720.00","3,740.00","3,740.00","61,095,700"
"Oct 18, 2021","3,840.00","3,840.00","3,790.00","3,790.00","3,790.00","78,580,700"
"Oct 15, 2021","3,840.00","3,840.00","3,750.00","3,810.00","3,810.00","69,707,700"
"Oct 14, 2021","3,770.00","3,830.00","3,770.00","3,830.00","3,830.00","95,817,900"
"Oct 13, 2021","3,750.00","3,820.00","3,750.00","3,770.00","3,770.00","87,143,900"
"Oct 12, 2021","3,780.00","3,840.00","3,770.00","3,780.00","3,780.00","69,866,300"
"Oct 11, 2021","3,800.00","3,850.00","3,770.00","3,810.00","3,810.00","78,865,000"
"Oct 08, 2021","3,730.00","3,800.00","3,720.00","3,800.00","3,800.00","91,361,800"
"Oct 07, 2021","3,720.00","3,740.00","3,690.00","3,720.00","3,720.00","56,837,600"
"Oct 06, 2021","3,690.00","3,770.00","3,650.00","3,760.00","3,760.00","153,535,700"
"Oct 05, 2021","3,670.00","3,680.00","3,620.00","3,670.00","3,670.00","140,488,300"
"Oct 04, 2021","3,620.00","3,670.00","3,600.00","3,670.00","3,670.00","82,205,100"
"Oct 01, 2021","3,680.00","3,690.00","3,610.00","3,660.00","3,660.00","109,898,400"
"Sep 30, 2021","3,550.00","3,690.00","3,540.00","3,690.00","3,690.00","153,853,900"
"Sep 29, 2021","3,490.00","3,540.00","3,490.00","3,530.00","3,530.00","53,170,100"
"Sep 28, 2021","3,510.00","3,540.00","3,490.00","3,530.00","3,530.00","54,671,700"
"Sep 27, 2021","3,530.00","3,560.00","3,480.00","3,520.00","3,520.00","87,303,000"
"Sep 24, 2021","3,560.00","3,580.00","3,540.00","3,560.00","3,560.00","72,224,500"
"Sep 23, 2021","3,600.00","3,610.00","3,550.00","3,560.00","3,560.00","104,737,500"
"Sep 22, 2021","3,530.00","3,590.00","3,520.00","3,590.00","3,590.00","66,835,200"
"Sep 21, 2021","3,500.00","3,560.00","3,480.00","3,530.00","3,530.00","95,848,100"
"Sep 20, 2021","3,500.00","3,520.00","3,460.00","3,520.00","3,520.00","83,985,100"
"Sep 17, 2021","3,400.00","3,530.00","3,390.00","3,530.00","3,530.00","117,573,100"
"Sep 16, 2021","3,470.00","3,470.00","3,400.00","3,440.00","3,440.00","58,318,700"
"Sep 15, 2021","3,430.00","3,450.00","3,410.00","3,450.00","3,450.00","73,158,300"
"Sep 14, 2021","3,380.00","3,450.00","3,350.00","3,440.00","3,440.00","166,002,100"
"Sep 13, 2021","3,310.00","3,350.00","3,300.00","3,350.00","3,350.00","45,547,200"
"Sep 10, 2021","3,380.00","3,390.00","3,320.00","3,330.00","3,330.00","52,115,300"
"Sep 09, 2021","3,360.00","3,390.00","3,330.00","3,390.00","3,390.00","82,214,400"
"Sep 08, 2021","3,400.00","3,400.00","3,310.00","3,330.00","3,330.00","80,636,800"
"Sep 07, 2021","3,410.00","3,410.00","3,360.00","3,380.00","3,380.00","42,617,400"
"Sep 06, 2021","3,410.00","3,410.00","3,380.00","3,390.00","3,390.00","52,640,400"
"Sep 03, 2021","3,400.00","3,420.00","3,370.00","3,390.00","3,390.00","65,479,800"
"Sep 02, 2021","3,350.00","3,390.00","3,350.00","3,370.00","3,370.00","51,633,800"
"Sep 01, 2021","3,420.00","3,420.00","3,330.00","3,340.00","3,340.00","85,135,200"
"Aug 31, 2021","3,400.00","3,420.00","3,360.00","3,400.00","3,400.00","130,019,000"
"Aug 30, 2021","3,330.00","3,400.00","3,330.00","3,400.00","3,400.00","64,177,700"
"Aug 27, 2021","3,370.00","3,370.00","3,310.00","3,320.00","3,320.00","62,419,000"
"Aug 26, 2021","3,330.00","3,360.00","3,320.00","3,360.00","3,360.00","55,756,100"
"Aug 25, 2021","3,390.00","3,390.00","3,330.00","3,370.00","3,370.00","66,618,200"
"Aug 24, 2021","3,410.00","3,420.00","3,310.00","3,400.00","3,400.00","69,338,100"
"Aug 23, 2021","3,420.00","3,440.00","3,400.00","3,440.00","3,440.00","64,122,400"
"Aug 20, 2021","3,390.00","3,430.00","3,370.00","3,400.00","3,400.00","113,411,000"
"Aug 19, 2021","3,410.00","3,430.00","3,360.00","3,390.00","3,390.00","100,851,800"
"Aug 18, 2021","3,360.00","3,440.00","3,350.00","3,420.00","3,420.00","162,921,300"
"Aug 16, 2021","3,300.00","3,340.00","3,290.00","3,340.00","3,340.00","38,661,800"
"Aug 13, 2021","3,370.00","3,380.00","3,260.00","3,300.00","3,300.00","59,903,600"
"Aug 12, 2021","3,260.00","3,350.00","3,240.00","3,350.00","3,350.00","93,133,400"
"Aug 10, 2021","3,240.00","3,270.00","3,190.00","3,230.00","3,230.00","57,658,000"
"Aug 09, 2021","3,260.00","3,300.00","3,220.00","3,250.00","3,250.00","70,299,500"
"Aug 06, 2021","3,360.00","3,380.00","3,310.00","3,320.00","3,320.00","31,664,200"
"Aug 05, 2021","3,360.00","3,400.00","3,320.00","3,340.00","3,340.00","89,742,800"
"Aug 04, 2021","3,330.00","3,370.00","3,310.00","3,370.00","3,370.00","63,108,600"
"Aug 03, 2021","3,310.00","3,360.00","3,290.00","3,330.00","3,330.00","89,712,500"
"Aug 02, 2021","3,240.00","3,310.00","3,210.00","3,310.00","3,310.00","60,368,200"
"Jul 30, 2021","3,200.00","3,290.00","3,200.00","3,240.00","3,240.00","95,143,100"
"Jul 29, 2021","3,210.00","3,290.00","3,200.00","3,230.00","3,230.00","126,542,400"
"Jul 28, 2021","3,250.00","3,250.00","3,150.00","3,190.00","3,190.00","103,282,300"
"Jul 27, 2021","3,210.00","3,270.00","3,160.00","3,270.00","3,270.00","62,673,400"
"Jul 26, 2021","3,140.00","3,200.00","3,140.00","3,190.00","3,190.00","55,525,800"
"Jul 23, 2021","3,250.00","3,250.00","3,150.00","3,170.00","3,170.00","67,128,400"
"Jul 22, 2021","3,210.00","3,260.00","3,210.00","3,260.00","3,260.00","48,865,700"
"Jul 21, 2021","3,190.00","3,240.00","3,180.00","3,210.00","3,210.00","115,099,400"
"Jul 19, 2021","3,160.00","3,230.00","3,150.00","3,220.00","3,220.00","116,219,500"
"Jul 16, 2021","3,140.00","3,170.00","3,110.00","3,170.00","3,170.00","63,626,300"
"Jul 15, 2021","3,110.00","3,140.00","3,080.00","3,130.00","3,130.00","88,092,800"
"Jul 14, 2021","3,050.00","3,070.00","3,020.00","3,060.00","3,060.00","84,993,400"
"Jul 13, 2021","3,160.00","3,160.00","3,050.00","3,070.00","3,070.00","82,856,600"
"Jul 12, 2021","3,190.00","3,190.00","3,110.00","3,130.00","3,130.00","86,268,000"
"Jul 09, 2021","3,040.00","3,170.00","3,030.00","3,160.00","3,160.00","222,916,400"
"Jul 08, 2021","3,060.00","3,060.00","3,000.00","3,010.00","3,010.00","132,576,600"
"Jul 07, 2021","3,030.00","3,070.00","3,010.00","3,030.00","3,030.00","110,215,500"
"Jul 06, 2021","3,050.00","3,070.00","3,000.00","3,010.00","3,010.00","151,573,500"
"Jul 05, 2021","3,070.00","3,090.00","3,010.00","3,040.00","3,040.00","133,815,000"
"Jul 02, 2021","3,110.00","3,130.00","3,060.00","3,070.00","3,070.00","161,855,700"
"Jul 01, 2021","3,160.00","3,170.00","3,090.00","3,110.00","3,110.00","143,665,900"
"Jun 30, 2021","3,150.00","3,180.00","3,130.00","3,150.00","3,150.00","142,204,500"
"Jun 29, 2021","3,190.00","3,260.00","3,150.00","3,160.00","3,160.00","123,411,200"
"Jun 28, 2021","3,250.00","3,260.00","3,170.00","3,170.00","3,170.00","66,338,900"
"Jun 25, 2021","3,250.00","3,300.00","3,240.00","3,250.00","3,250.00","58,330,700"
"Jun 24, 2021","3,330.00","3,360.00","3,240.00","3,250.00","3,250.00","101,334,200"
"Jun 23, 2021","3,310.00","3,420.00","3,310.00","3,370.00","3,370.00","81,901,000"
"Jun 22, 2021","3,300.00","3,370.00","3,290.00","3,300.00","3,300.00","89,349,200"
"Jun 21, 2021","3,280.00","3,340.00","3,260.00","3,300.00","3,300.00","74,248,200"
"Jun 18, 2021","3,350.00","3,400.00","3,290.00","3,350.00","3,350.00","168,414,300"
"Jun 17, 2021","3,370.00","3,420.00","3,350.00","3,350.00","3,350.00","50,286,100"
"Jun 16, 2021","3,380.00","3,430.00","3,380.00","3,410.00","3,410.00","39,149,800"
"Jun 15, 2021","3,410.00","3,440.00","3,380.00","3,440.00","3,440.00","60,528,600"
"Jun 14, 2021","3,460.00","3,470.00","3,400.00","3,410.00","3,410.00","46,016,500"
"Jun 11, 2021","3,490.00","3,500.00","3,420.00","3,470.00","3,470.00","82,336,600"
"Jun 10, 2021","3,350.00","3,500.00","3,340.00","3,480.00","3,480.00","137,713,700"
"Jun 09, 2021","3,340.00","3,400.00","3,310.00","3,390.00","3,390.00","112,204,200"
"Jun 08, 2021","3,550.00","3,550.00","3,470.00","3,500.00","3,331.99","132,409,400"
"Jun 07, 2021","3,540.00","3,570.00","3,500.00","3,550.00","3,379.59","124,440,300"
"Jun 04, 2021","3,490.00","3,510.00","3,450.00","3,500.00","3,331.99","70,624,200"
"Jun 03, 2021","3,420.00","3,490.00","3,420.00","3,490.00","3,322.47","77,627,900"
"Jun 02, 2021","3,490.00","3,500.00","3,420.00","3,450.00","3,284.39","108,933,400"
"May 31, 2021","3,300.00","3,460.00","3,300.00","3,440.00","3,274.87","155,768,200"
"May 28, 2021","3,380.00","3,400.00","3,260.00","3,270.00","3,113.03","87,439,800"
"May 27, 2021","3,350.00","3,400.00","3,330.00","3,380.00","3,217.75","233,551,300"
"May 25, 2021","3,290.00","3,320.00","3,270.00","3,300.00","3,141.59","62,218,300"
"May 24, 2021","3,290.00","3,330.00","3,220.00","3,260.00","3,103.51","64,347,100"
"May 21, 2021","3,340.00","3,350.00","3,270.00","3,270.00","3,113.03","104,101,400"
"May 20, 2021","3,190.00","3,320.00","3,180.00","3,310.00","3,151.11","197,430,900"
"May 19, 2021","3,150.00","3,220.00","3,150.00","3,160.00","3,008.31","48,958,100"
"May 18, 2021","3,190.00","3,190.00","3,150.00","3,180.00","3,027.35","77,310,400"
"May 17, 2021","3,190.00","3,190.00","3,150.00","3,190.00","3,036.87","114,071,400"
"May 11, 2021","3,170.00","3,200.00","3,150.00","3,180.00","3,027.35","94,281,900"
"May 10, 2021","3,190.00","3,200.00","3,160.00","3,170.00","3,017.83","104,121,900"
"May 07, 2021","3,200.00","3,220.00","3,180.00","3,190.00","3,036.87","98,099,900"
"May 06, 2021","3,200.00","3,200.00","3,150.00","3,190.00","3,036.87","91,955,600"
"May 05, 2021","3,210.00","3,210.00","3,180.00","3,200.00","3,046.39","76,480,300"
"May 04, 2021","3,180.00","3,210.00","3,170.00","3,210.00","3,055.91","60,180,600"
"May 03, 2021","3,200.00","3,210.00","3,130.00","3,170.00","3,017.83","124,724,400"
"Apr 30, 2021","3,220.00","3,260.00","3,200.00","3,200.00","3,046.39","143,840,800"
"Apr 29, 2021","3,150.00","3,210.00","3,140.00","3,200.00","3,046.39","111,785,100"
"Apr 28, 2021","3,160.00","3,170.00","3,130.00","3,140.00","2,989.27","91,596,300"
"Apr 27, 2021","3,240.00","3,250.00","3,140.00","3,160.00","3,008.31","166,985,400"
"Apr 26, 2021","3,280.00","3,300.00","3,250.00","3,250.00","3,093.99","55,076,200"
"Apr 23, 2021","3,330.00","3,330.00","3,290.00","3,310.00","3,151.11","39,798,400"
"Apr 22, 2021","3,290.00","3,340.00","3,290.00","3,330.00","3,170.15","54,970,000"
"Apr 21, 2021","3,290.00","3,330.00","3,280.00","3,280.00","3,122.55","47,167,800"
"Apr 20, 2021","3,330.00","3,350.00","3,300.00","3,320.00","3,160.63","55,700,100"
"Apr 19, 2021","3,330.00","3,360.00","3,330.00","3,340.00","3,179.67","44,899,700"
"Apr 16, 2021","3,370.00","3,370.00","3,320.00","3,360.00","3,198.71","52,517,800"
"Apr 15, 2021","3,340.00","3,360.00","3,320.00","3,360.00","3,198.71","65,669,100"
"Apr 14, 2021","3,360.00","3,360.00","3,320.00","3,340.00","3,179.67","52,587,500"
"Apr 13, 2021","3,340.00","3,340.00","3,300.00","3,330.00","3,170.15","51,300,200"
"Apr 12, 2021","3,340.00","3,390.00","3,300.00","3,310.00","3,151.11","79,003,200"
"Apr 09, 2021","3,390.00","3,390.00","3,360.00","3,360.00","3,198.71","56,861,400"
"Apr 08, 2021","3,380.00","3,400.00","3,380.00","3,390.00","3,227.27","59,079,700"
"Apr 07, 2021","3,410.00","3,430.00","3,380.00","3,400.00","3,236.79","84,754,300"
"Apr 06, 2021","3,400.00","3,410.00","3,370.00","3,370.00","3,208.23","40,566,400"
"Apr 05, 2021","3,430.00","3,430.00","3,370.00","3,380.00","3,217.75","36,029,200"
"Apr 01, 2021","3,390.00","3,440.00","3,380.00","3,390.00","3,227.27","73,332,000"
"Mar 31, 2021","3,380.00","3,420.00","3,330.00","3,420.00","3,255.83","134,671,900"
